retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Trimestre,Ano,Ciudad
-67.03763440860216,-44.89605734767025,-55.34946236559139,-62.88602150537634,-50.24301075268818,25.5247311827957,2,2020,Medellin
-50.04086021505376,-28.91362007168459,-39.59462365591398,-51.55555555555555,-34.83942652329749,17.956272401433694,3,2020,Medellin
-28.945878136200715,-3.5799283154121873,-27.370967741935484,-28.56774193548387,-19.31505376344086,10.191756272401435,4,2020,Medellin
-32.214669738863286,-0.6705069124423962,-31.100230414746544,-34.71198156682028,-20.892857142857142,9.51036866359447,1,2021,Medellin
-30.24767025089606,5.816487455197133,-24.7415770609319,-27.44659498207885,-19.949462365591398,11.968817204301075,2,2021,Medellin
-2.841935483870968,31.68709677419355,-1.0487455197132616,2.518996415770609,-0.17168458781361995,5.467025089605735,3,2021,Medellin
9.596415770609319,47.32329749103943,8.020071684587814,14.250179211469534,4.4057347670250895,3.1906810035842295,4,2021,Medellin
0.0,0.0,0.0,0.0,0.0,0.0,1,2019,Monteria
0.0,0.0,0.0,0.0,0.0,0.0,2,2019,Monteria
0.0,0.0,0.0,0.0,0.0,0.0,3,2019,Monteria
0.0,0.0,0.0,0.0,0.0,0.0,4,2019,Monteria
-12.036559139784947,-6.962724014336918,-6.058781362007168,0.035842293906810006,-2.559139784946236,2.8824372759856627,1,2020,Monteria
-70.38028673835126,-45.99032258064516,-45.330107526881726,-45.61505376344086,-47.20931899641577,23.34731182795699,2,2020,Monteria
-61.0358422939068,-36.80215053763441,-40.59247311827957,-45.46236559139785,-39.63046594982078,20.523297491039425,3,2020,Monteria
-28.405376344086022,15.54336917562724,-14.7831541218638,-27.438709677419354,-14.529032258064516,9.551254480286739,4,2020,Monteria
-30.572580645161292,16.431643625192013,-16.054915514592935,-28.183179723502306,-15.181259600614439,7.134408602150539,1,2021,Monteria
-24.288172043010757,20.974193548387095,-14.956630824372759,-22.78243727598566,-12.443010752688172,9.389247311827956,2,2021,Monteria
3.795340501792115,43.44695340501792,4.734408602150538,-5.697491039426524,1.6630824372759854,5.082078853046595,3,2021,Monteria
