DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Total
05,Antioquia,05034,Andes,2022,Cabecera Municipal,23160
05,Antioquia,05034,Andes,2022,Centros Poblados y Rural Disperso,22417
05,Antioquia,05034,Andes,2022,Total,45577
05,Antioquia,05034,Andes,2023,Cabecera Municipal,23875
05,Antioquia,05034,Andes,2023,Centros Poblados y Rural Disperso,22414
05,Antioquia,05034,Andes,2023,Total,46289
05,Antioquia,05034,Andes,2024,Cabecera Municipal,24341
05,Antioquia,05034,Andes,2024,Centros Poblados y Rural Disperso,22441
05,Antioquia,05034,Andes,2024,Total,46782
05,Antioquia,05034,Andes,2025,Cabecera Municipal,24744
05,Antioquia,05034,Andes,2025,Centros Poblados y Rural Disperso,22487
05,Antioquia,05034,Andes,2025,Total,47231
05,Antioquia,05034,Andes,2026,Cabecera Municipal,25137
05,Antioquia,05034,Andes,2026,Centros Poblados y Rural Disperso,22569
05,Antioquia,05034,Andes,2026,Total,47706
05,Antioquia,05034,Andes,2027,Cabecera Municipal,25494
05,Antioquia,05034,Andes,2027,Centros Poblados y Rural Disperso,22700
05,Antioquia,05034,Andes,2027,Total,48194
05,Antioquia,05034,Andes,2028,Cabecera Municipal,25835
05,Antioquia,05034,Andes,2028,Centros Poblados y Rural Disperso,22863
05,Antioquia,05034,Andes,2028,Total,48698
05,Antioquia,05034,Andes,2029,Cabecera Municipal,26133
05,Antioquia,05034,Andes,2029,Centros Poblados y Rural Disperso,23049
05,Antioquia,05034,Andes,2029,Total,49182
05,Antioquia,05034,Andes,2030,Cabecera Municipal,26412
05,Antioquia,05034,Andes,2030,Centros Poblados y Rural Disperso,23282
05,Antioquia,05034,Andes,2030,Total,49694
05,Antioquia,05034,Andes,2031,Cabecera Municipal,26666
05,Antioquia,05034,Andes,2031,Centros Poblados y Rural Disperso,23546
05,Antioquia,05034,Andes,2031,Total,50212
05,Antioquia,05034,Andes,2032,Cabecera Municipal,26925
05,Antioquia,05034,Andes,2032,Centros Poblados y Rural Disperso,23795
05,Antioquia,05034,Andes,2032,Total,50720
05,Antioquia,05034,Andes,2033,Cabecera Municipal,27153
05,Antioquia,05034,Andes,2033,Centros Poblados y Rural Disperso,24035
05,Antioquia,05034,Andes,2033,Total,51188
